vtitle,address,telephone,description,hour,hotel,beauty,supply,homepage
청담우리동물병원,서울특별시 강남구 삼성로 614,02-541-7515,"슬개골 탈구 수술, 심장초음파, 중성화수술, 응급실운영",TRUE,FALSE,FALSE,FALSE,http://www.chungdamah.co.kr/
24시 우리들동물병원,서울특별시 양천구 목동로 161,02-2642-7588,,FALSE,FALSE,FALSE,FALSE,http://www.wooridleclinic.kr/main/
혜인종합동물병원,서울특별시 양천구 등촌로 218,02-2645-1475,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/dvmmoon
VIP동물의료센터,서울특별시 성북구 동소문로 73,02-953-0075,,FALSE,FALSE,FALSE,FALSE,http://www.vipah.co.kr/
스마트 동물병원,서울특별시 강남구 선릉로 418,02-554-7582,,TRUE,FALSE,FALSE,FALSE,http://blog.naver.com/smart7582/
예은동물병원,서울특별시 강남구 도곡로 189,02-529-5575,,FALSE,FALSE,FALSE,FALSE,http://www.yeah4u.co.kr/
나래동물병원,서울특별시 광진구 능동로 283,02-463-3216,"애견미용실 및 호텔 운영, 용품 판매",FALSE,TRUE,TRUE,TRUE,
스마트 동물병원 신사본원,서울특별시 강남구 도산대로 213,02-549-0275,"애견 진료, 호텔, 미용, 용품, 정형외과, 슬개골탈구 수술",FALSE,TRUE,TRUE,TRUE,http://blog.naver.com/smart7582
24시 스마트 동물메디컬센터,서울특별시 은평구 은평로 93,02-387-7582,"노령견 전문, 고양이 전문, 수술 전문, 응급진료",TRUE,FALSE,FALSE,FALSE,http://blog.naver.com/eosksh
드림 동물병원,서울특별시 강남구 역삼로 234,02-508-7583,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/dreamamc
지구촌동물메디컬센터,서울특별시 구로구 구로중앙로32길 14,02-869-7582,"응급진료, 외과수술, 피부과, 안과 전문",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/dr_jiguchon
라온펫동물의료센터,서울특별시 강남구 남부순환로 2912,02-555-2272,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/raonpet
내방동물병원,서울특별시 서초구 서초대로 108,02-3473-8275,"애견용품, 애견미용, 예방접종",TRUE,FALSE,TRUE,TRUE,http://nbanimal.com/
고양이병원 백산동물병원,서울특별시 강남구 논현로86길 22,1644-5653,"고양이전문, 건강검진, 진료, 수술전문, 중성화, 미용",TRUE,FALSE,TRUE,FALSE,http://thecatclinic.co.kr/
이든동물의료센터,서울특별시 영등포구 양평로 5,02-2635-2475,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/edenamc2
더샵동물병원,서울특별시 송파구 오금로 45,02-416-7512,"강아지, 중성화, 슬개골 탈구, 자궁축농증 수술, 암, 종양 등",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/thesharpah
VIP동물의료센터 장안점,서울특별시 동대문구 답십리로 298,02-2215-7522,"고양이, 외과, 슬개골, 골절, 치과",TRUE,FALSE,FALSE,FALSE,http://www.vipah.co.kr/
내품에동물병원,서울특별시 강동구 천호대로 1120,02-477-1775,"반려동물, 강아지, 고양이 전문",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/mylovehug
교대동물병원,서울특별시 서초구 서초대로 325,02-596-1175,"애완동물 중성화, 치과",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/kyodaeah
강서YD동물의료센터,서울특별시 강서구 화곡로 371,02-518-7500,"진료, 용품, 미용, 분양, 호텔 등",FALSE,TRUE,TRUE,TRUE,http://blog.naver.com/ydamc
이리온,서울특별시 강남구 도산대로 445,02-1577-6125,,FALSE,FALSE,FALSE,FALSE,http://www.irion.co.kr/
강북24시N동물의료센터,서울특별시 성북구 삼양로4길 3,02-984-0075,,FALSE,FALSE,FALSE,FALSE,http://www.namc.co.kr/
이룸 동물병원,서울특별시 송파구 삼학사로 44,02-419-7580,"강아지, 호텔, 미용, 놀이방, 응급진료, 야간진료, 무마취 미용, 대형견 미용",TRUE,TRUE,TRUE,FALSE,http://blog.naver.com/erumah
하니동물의료센터,서울특별시 양천구 등촌로 58,02-2647-1772,"고양이, 개불임 및 중성화 수술, 혈액검사, 호흡마취 등 진료 전문",FALSE,FALSE,FALSE,FALSE,http://www.dogdr.co.kr/
24시잠실on동물병원,서울특별시 송파구 올림픽로 76,02-418-0724,,TRUE,FALSE,FALSE,FALSE,
24시 북악동물병원,서울특별시 성북구 정릉로 272-9,02-941-7900,"슬개골 탈구, 정형외과 수술 전문병원, 노령견 수술 전문, 심장 클리닉, 신부전 센터, 고양이 전문",TRUE,FALSE,FALSE,FALSE,http://blog.naver.com/documania
24시OK동물병원,서울특별시 강남구 선릉로 338,02-569-7582,"박사출신 외과전문, 분야별 진료, 난치, 노령질환전문, 고양이전문, 고급호텔",TRUE,TRUE,FALSE,FALSE,http://www.okamc.co.kr/
가재울두리틀동물병원,서울특별시 서대문구 응암로 66,02-302-3275,"강아지, 고양이 진료, 노령견전문, 심장병, 유선종양, 수술 전문",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/drdolittle
닥터멍동물병원,서울특별시 강남구 논현로 515,02-554-7505,"응급진료, 애견 호텔 및 놀이터, 야외 테라스, 애완동물 복합문화공간 진료센터",FALSE,TRUE,FALSE,FALSE,http://blog.naver.com/dm5547505
압구정웰동물병원,서울특별시 강남구 압구정로 108,02-3443-0275,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/atylnb
왕십리조은동물병원,서울특별시 성동구 왕십리로 347,02-2297-0075,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/joeunhoyoung
아이윌24시동물병원,서울특별시 강남구 학동로 437,02-6925-7021,,TRUE,FALSE,FALSE,FALSE,http://iwill24.co.kr/
치료멍멍 동물의료센터,서울특별시 서초구 사평대로 68,,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/vet1120
봄동물병원,서울특별시 강남구 도곡로 115,1644-9416,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/bomah0508
산들산들 동물병원,서울특별시 마포구 마포대로16길 7,02-393-3588,,FALSE,FALSE,FALSE,FALSE,http://24sdsdah.modoo.at/
에코동물병원,서울특별시 송파구 동남로 161,02-443-2222,"특수동물, 기니피그, 토끼, 고슴도치, 햄스터 등 전문진료 및 수술, 강아지, 고양이 수술 및 진료.",FALSE,FALSE,FALSE,FALSE,http://www.ecoanimal.co.kr/
한빛종합동물병원,서울특별시 노원구 동일로 1370,02-951-7582,"피부병, 무릎수술, 슬개골 탈구, 고양이, 노령견 클리닉 등 진료안내",FALSE,FALSE,FALSE,FALSE,http://hanvitah.co.kr/
안박동물병원,서울특별시 강서구 양천로 510,02-3664-7511,"반려동물 진료, 백신접종, 야간응급진료, 미용, 호텔, 용품, 사료, 동물등록제 안내",FALSE,TRUE,TRUE,TRUE,
충현동물종합병원,서울특별시 강남구 논현로 621,02-549-7582,"애견 건강관리, 치아 보철술, 피부과, 수의내과, 산과 진료 및 애견호텔 운영",FALSE,TRUE,FALSE,FALSE,http://www.pet7582.co.kr/
한양동물메디컬센터,서울특별시 성동구 왕십리로 282,02-2281-5200,"수술 및 진료, 미용, 분양, 교배 등 안내",FALSE,FALSE,TRUE,FALSE,http://blog.naver.com/hyamc
세계로동물병원,서울특별시 관악구 남부순환로 1497,02-868-3931,"1층 동물종합메디컬센터 2층고양이전문센터, 외과수술전문, 20년전통, 최신검사장비 및 시설",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/claire005
한성동물병원,서울특별시 관악구 신림로 265,02-872-7609,"토끼, 햄스터, 거북, 페럿, 프레리독, 기니피그, 뱀, 조류, 새, 개, 고양이, 고슴도치, 특수동물진료, 애견, 반려견 진료",FALSE,FALSE,FALSE,FALSE,http://www.vetopia.co.kr/
늘푸른동물병원,서울특별시 은평구 은평로 29,02-388-3008,"고양이, 강아지 진료 및 수술 전문",FALSE,FALSE,FALSE,FALSE,
24시SKY동물의료센터,서울특별시 강동구 천호대로 1122,02-472-7579,,TRUE,FALSE,FALSE,FALSE,http://blog.naver.com/gdskyamc1
그레이스동물병원,서울특별시 강남구 학동로6길 18,02-3442-5554,"건강검진센터, 24시야간진료, 슬개골 탈구수술, 난치성노령견질환, 반려동물내시경, 호르몬내과, 심장초음파",TRUE,FALSE,FALSE,FALSE,http://www.the-grace.net/
키다리 동물병원,서울특별시 송파구 새말로 62,,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/scarface928
24시 수 동물병원,서울특별시 영등포구 영등포로 85-1,02-2676-7582,,TRUE,FALSE,FALSE,FALSE,http://blog.naver.com/sooamc
구로종합동물병원,서울특별시 구로구 경인로 638,02-2631-0085,"난치성 내외과질환, 개, 고양이 진료 등 안내",FALSE,FALSE,FALSE,FALSE,http://www.guroah.com/
이태원동물병원,서울특별시 용산구 녹사평대로 210,02-797-6677,"애견상식, 애견사진 등 제공",FALSE,FALSE,FALSE,FALSE,http://www.vetmedic.co.kr/
래이동물의료센터,서울특별시 강남구 남부순환로 2911-1,02-556-7588,"서울대학교 동물병원 출신 의료진, 야간응급, 석,박사 의료진",FALSE,FALSE,FALSE,FALSE,http://www.rayvmc.co.kr/
24시 명 동물메디컬센터,서울특별시 구로구 남부순환로 775,02-2619-5102,"야간응급, 개, 고양이 수술전문, 개 예방접종, 종합검진 안내, 애완동물 상식 제공",TRUE,FALSE,FALSE,FALSE,http://blog.naver.com/petsong1472
서진동물병원,서울특별시 관악구 봉천로 236,02-887-2165,,FALSE,FALSE,FALSE,FALSE,
힐링24시동물병원,서울특별시 마포구 백범로 205,02-713-8275,,TRUE,FALSE,FALSE,FALSE,http://healingpet.wme.kr/main
아프리카동물메디컬센터,서울특별시 강서구 공항대로 335,02-3663-7975,"노령견 및 소형견 수술 전문, 내과, CT촬영 등 안내",FALSE,FALSE,FALSE,FALSE,http://www.aamc.co.kr/
오렌지동물병원,서울특별시 성동구 행당로8길 41-2,02-2297-7582,"강아지, 고양이 진료 및 수술, 애견 미용, 호텔 운영",FALSE,TRUE,TRUE,FALSE,
로얄동물메디컬센터,서울특별시 중랑구 망우로 247,02-494-7582,,FALSE,FALSE,FALSE,FALSE,http://royalamc.com/
월드펫동물종합병원,서울특별시 마포구 신촌로 248,02-364-3517,,FALSE,FALSE,FALSE,FALSE,http://worldpet-amc.co.kr/
메인동물메디컬센터,서울특별시 노원구 동일로 1025-1,02-979-8575,,FALSE,FALSE,FALSE,FALSE,http://mainamc.com/
24시애니동물병원,서울특별시 성북구 보문로 99,02-926-8275,,TRUE,FALSE,FALSE,FALSE,
아띠동물병원,서울특별시 동대문구 사가정로 51,02-6242-8275,"노령견, 치과, 중성화, 스케일링, 건강검진 등 안내",FALSE,FALSE,FALSE,FALSE,http://attiah.modoo.at/
오래오래동물병원,서울특별시 강남구 도곡로37길 20,02-568-2090,,FALSE,FALSE,FALSE,FALSE,http://www.oraepet.co.kr/
동물메디컬센터W,서울특별시 마포구 월드컵로 46,02-323-8275,"종합동물병원, 2차 진료",TRUE,FALSE,FALSE,FALSE,http://www.animalw.co.kr/
헬릭스동물메디컬센터,서울특별시 서초구 신반포로 162,02-2135-9119,,FALSE,FALSE,FALSE,FALSE,
우리아이 동물병원,서울특별시 동작구 상도로 262,02-823-7500,"강아지, 고양이 진료, 미용, 호텔 등 서비스 안내",FALSE,TRUE,TRUE,FALSE,http://www.uriai.co.kr/
보노보노 동물병원,서울특별시 강북구 덕릉로 39,02-903-5525,"어린강아지, 노령견 관리, 정기검진, 내과, 외과, 피부염 진료 전문",FALSE,FALSE,FALSE,FALSE,
24시 베스트 동물 메디컬센터,서울특별시 송파구 삼학사로 88,02-2203-7975,,TRUE,FALSE,FALSE,FALSE,http://jsbestamc.allthemedi.com/
365동물병원,서울특별시 도봉구 방학로 54,02-6402-0365,"진료, 용품, 미용, 호텔, 분양 등",FALSE,TRUE,TRUE,TRUE,http://blog.naver.com/365ah
페츠비 동물의료센터,서울특별시 강남구 도산대로 155,02-546-2475,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/petsbe24ah
동물을사랑하는사람들,서울특별시 강북구 도봉로98길 56,,"진료, 미용, 애견호텔 운영",FALSE,TRUE,TRUE,FALSE,
리베동물메디컬센터,서울특별시 양천구 오목로 280,02-2604-0156,,FALSE,FALSE,FALSE,FALSE,http://liebeamc.com/
봄봄동물병원,서울특별시 동대문구 회기로18길 46,02-969-7579,"고양이, 노령견 진료, 중성화수술, 예방접종, 미용, 용품",FALSE,FALSE,TRUE,TRUE,http://blog.naver.com/bombomah
경인동물의료센터,서울특별시 영등포구 경인로 832,02-571-8275,,FALSE,FALSE,FALSE,FALSE,http://giamc.com/
라라동물의료원,서울특별시 구로구 도림로 72,02-839-7585,"소화기, 순환기, 피부, 정형외과 등 진료 안내",FALSE,FALSE,FALSE,FALSE,http://www.lalapet.co.kr/
N동물의료센터 노원점,서울특별시 노원구 노원로 456,02-919-0075,,FALSE,FALSE,FALSE,FALSE,http://www.namc.co.kr/
좋아서하는동물병원,서울특별시 용산구 백범로 341,02-703-0075,"내과 전공 원장, 심장/피부 등 내과 심화 진료",FALSE,FALSE,FALSE,FALSE,http://www.joapethospital.com/
아크리스동물의료센터,서울특별시 강남구 학동로 138,02-583-7582,"전자내시경, 해외출국 동물검역, 복합문화공간, 특수동물, 오존, 레이저수술, 음압 등 반려동물 전문 진료",FALSE,FALSE,FALSE,FALSE,http://www.acris-ah.co.kr/
별난동물병원,서울특별시 도봉구 도봉로 603,02-905-9119,"내외과 진료, 노령견 관리, 피부, 안과 각종 다발성 질병 및 수술, 분양 상담, 미용, 애완동물 용품.",FALSE,FALSE,TRUE,TRUE,http://blog.naver.com/jinsan1
진서동물병원,서울특별시 중랑구 신내로10길 7,02-432-7530,,FALSE,FALSE,FALSE,FALSE,
보라매 웰 종합 동물병원,서울특별시 동작구 상도로 16,,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/wellvc
닥터아이펫 동물병원,서울특별시 중랑구 망우로 353,02-2208-0329,"예방접종, 심장사상충, 예약진료, 수술, 중성화, 분양, 애견, 고양이 미용, 호텔 안내.",FALSE,TRUE,TRUE,FALSE,http://dripet.modoo.at/
서울동물메디컬센터,서울특별시 강동구 양재대로 1410,02-457-0075,,FALSE,FALSE,FALSE,FALSE,http://www.seoul75.com/
나눔동물병원,서울특별시 관악구 남부순환로 1964,02-888-0976,,FALSE,FALSE,FALSE,FALSE,http://doctor_nanum.blog.me/50176074302
논현동물병원,서울특별시 강남구 강남대로118길 47,02-3442-3785,,FALSE,FALSE,FALSE,FALSE,http://www.nhamc.co.kr/
올리브동물병원,서울특별시 종로구 자하문로 305,02-391-7502,,FALSE,FALSE,FALSE,FALSE,http://olivehospital.modoo.at/
하비동물병원,서울특별시 도봉구 노해로65길 14,02-2038-9980,"수술, 건강검진, 예방접종, 미용, 분양, 애완용품, 강아지분양, 중성화수술, 고양이진료, 강아지진료",FALSE,FALSE,TRUE,TRUE,http://blog.naver.com/habianimal
시온동물병원,서울특별시 강동구 천호대로 1057,02-476-8275,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/zion_ah
미소동물의료센터,서울특별시 강서구 강서로 215,02-2603-0075,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/misoanimal
젠틀리동물병원,서울특별시 강서구 마곡중앙5로 81,02-2662-8111,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/gentleleeah
청화동물병원 &amp; KAT,서울특별시 용산구 보광로 90,02-792-7602,동물 해외 출입국 검역 및 항공운송,FALSE,FALSE,FALSE,FALSE,http://www.cwhospital.co.kr/
넬동물병원,서울특별시 성북구 오패산로 75-1,02-6925-4347,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/dvmwang
고덕24시동물병원,서울특별시 강동구 동남로 877,02-6227-8275,,TRUE,FALSE,FALSE,FALSE,http://koduk24.blog.me/
준동물병원,서울특별시 광진구 뚝섬로 541,02-457-2220,"진료, 미용, 호텔, 분양 등 고양이 병원",FALSE,TRUE,TRUE,FALSE,http://blog.naver.com/wwqwe12
24시페토피아동물병원,서울특별시 송파구 오금로 203,02-414-0075,,TRUE,FALSE,FALSE,FALSE,http://peto.pe.kr/
다나동물병원,서울특별시 동작구 동작대로 47,02-3471-0375,,FALSE,FALSE,FALSE,FALSE,http://www.danahospital.co.kr/
금란종합동물병원,서울특별시 중랑구 용마산로 532,02-492-7582,,FALSE,FALSE,FALSE,FALSE,http://healthydog.co.kr/
개포별빛동물병원,서울특별시 강남구 논현로 70,02-573-7582,"외과, 내과, 안과 등 진료",FALSE,FALSE,FALSE,FALSE,http://starlightah.blog.me/
스마트동물병원,서울특별시 강동구 고덕로 110,02-442-8875,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/smart7582
어울림동물병원,서울특별시 서대문구 가재울미래로 2,02-305-4242,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/eoullimah
셀레네동물병원,서울특별시 마포구 독막로 85,02-335-5232,"예방접종, 사료, 간식 등 판매",FALSE,FALSE,FALSE,FALSE,
라파엘동물병,서울특별시 서초구 강남대로 525-3,02-3444-7507,"호텔, 까페 운영, 애견용품 판매.",TRUE,TRUE,FALSE,TRUE,
스머프동물병원,서울특별시 은평구 백련산로 145,02-969-7582,"수술, 미용, 응급진료, 애견용품, 액세서리, 건강사료 판매",FALSE,FALSE,TRUE,TRUE,
아프지말게동물병원,서울특별시 마포구 월드컵북로 381,02-307-3355,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/a_mal
화랑동물병원,서울특별시 노원구 화랑로 473,02-979-7411,"내외과 진료, 예방접종, 미용, 분양, 사료 및 용품판매",FALSE,FALSE,TRUE,TRUE,
유케어동물병원,서울특별시 동작구 상도로 214,,"개, 고양이 전문 진료, 수중 런닝머신, 디지털 진료 시스템, 외과수술전문",FALSE,FALSE,FALSE,FALSE,http://24ucare.com/
파랑새동물병원,서울특별시 금천구 시흥대로 276,02-805-2825,"개 고양이 중성화 치석제거 및 예방접종 구충 및 애견 미용, 피부병 귓병 안과질환 소화기질환 비뇨기질환 전문",FALSE,FALSE,TRUE,FALSE,http://blog.naver.com/dvmksy
미소로동물병원,서울특별시 영등포구 영신로 238,02-2679-9997,"서울특별시 영등포구 영등포동 위치. 동물병원, 고양이, 외과, 슬개골, 골절, 치과 등 진료 안내.",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/misoroanimal
25시동물의료센터,서울특별시 송파구 삼전로 80,02-419-1351,,TRUE,FALSE,FALSE,FALSE,http://blog.naver.com/jamsil25h
위즈펫동물병원 롯데마트서울역점,서울특별시 중구 한강대로 405,02-393-7588,"진료, 미용, 애견분양, 호텔, 중성화수술 등",FALSE,TRUE,TRUE,FALSE,http://www.ssah.co.kr/
우리동물병원,서울특별시 광진구 뚝섬로 636,02-457-0231,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/wooryah
로얄동물병원,서울특별시 은평구 연서로 137,02-354-0975,"야간응급실 운영, 개, 고양이 호텔 및 미용실 운영, 용품 판매",FALSE,TRUE,TRUE,TRUE,http://blog.naver.com/royalpet1004
우리아이동물메디컬센터,서울특별시 강서구 공항대로 284,02-3664-0075,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/woori-iamc
워너비동물병원,서울특별시 마포구 동교로 193,02-322-1275,"외과수술, 건강검진센터, 고양이진료, 심장초음파, 중성화 전문",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/wannabeah
늘푸른동물병원,서울특별시 관악구 난곡로 227,02-857-7572,,FALSE,FALSE,FALSE,FALSE,
중앙동물병원,서울특별시 강북구 도봉로 88,02-982-8698,"반려동물 진료, 애견미용, 용품 판매 전문.",FALSE,FALSE,TRUE,TRUE,
위드동물병원,서울특별시 도봉구 도봉로 568,02-907-1175,,FALSE,FALSE,FALSE,FALSE,
유석동물병원,서울특별시 영등포구 여의대방로 11,02-833-7554,강아지 및 고양이 진료,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/vetdrwoo/
도담도담동물병원,서울특별시 성북구 화랑로 76,02-943-7582,"애견미용, 호텔, 초음파, 중성화, 스케일링, 피부, 설사, 파보, 홍역, 구토, 고양이, 예방접종.",FALSE,TRUE,TRUE,FALSE,
송정동물메디컬센터,서울특별시 강서구 공항대로 39,02-2661-0530,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/petlove0530
파스텔동물병원,서울특별시 강서구 화곡로 112,02-2693-0075,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/pastelclinic/
웰케어동물병원,서울특별시 마포구 월드컵북로 27,02-337-7575,"애견미용, 푸들비숑가위컷전문, 긍정강화진료, 반려견문제상담, 중성화센터, 노령견전문병원",FALSE,FALSE,TRUE,FALSE,http://blog.naver.com/well_care/
관악동물종합병원,서울특별시 관악구 남부순환로 1859,02-883-2733,,FALSE,FALSE,FALSE,FALSE,
마리동물병원,서울특별시 마포구 신촌로 16,02-323-7582,"고양이 병원, 치과, 안과, 한방, 침치료, 심장 진료 등",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/jongilori
하이디 동물병원,서울특별시 마포구 독막로 38,02-338-0275,"고양이, 강아지",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/highdah
이윤세동물병원,서울특별시 성동구 행당로 76,02-2282-7503,,FALSE,FALSE,FALSE,FALSE,http://nentnc.blog.me/
와우종합동물병원,서울특별시 관악구 난곡로 247,02-866-0880,,FALSE,FALSE,FALSE,FALSE,
러브펫동물병원,서울특별시 관악구 남부순환로 1451,02-837-8875,"정형외과, 신경외과, 내과 등 진료",FALSE,FALSE,FALSE,FALSE,http://www.lovepet24.com/
민트동물병원,서울특별시 용산구 원효로 51,02-707-2235,"해외 운송 동물 검역 강아지, 고양이 전문 (미국 싱가폴 인도 일본 뉴질랜드 호주 필리핀 태국)",FALSE,FALSE,FALSE,FALSE,http://www.mintpet.co.kr/
페트로동물의료원,서울특별시 동대문구 장한로 77,02-2249-0075,"반려동물 진료, 호텔, 토탈케어 서비스 제공",FALSE,TRUE,FALSE,FALSE,http://blog.naver.com/petropolis
퓨리나 동물병원,서울특별시 도봉구 도봉로 469,,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/purinaclinic/
우리동물메디컬센터,서울특별시 금천구 남부순환로 1386,02-853-7582,,FALSE,FALSE,FALSE,FALSE,
지엔동물병원,서울특별시 동작구 상도로 195,02-812-8275,"강아지, 고양이 진료 및 미용",FALSE,FALSE,TRUE,FALSE,http://www.gn-ah.co.kr/
하나동물병원,서울특별시 동대문구 망우로 66,02-6242-7500,"노령견 클리닉, 고양이, 고슴도치, 햄스터, 토끼, 기니피그 진료",FALSE,FALSE,FALSE,FALSE,
파리스동물병원,서울특별시 양천구 목동서로 100,02-2644-8878,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/animalhospital
금천 24시 K동물의료센터,서울특별시 금천구 시흥대로 251,02-808-2475,,TRUE,FALSE,FALSE,FALSE,
굿파파 24시 반려동물건강검진센터,서울특별시 동작구 사당로 289,02-593-8275,,TRUE,FALSE,FALSE,FALSE,http://blog.naver.com/shysky3620
