vtitle,address,telephone,description,hour,hotel,beauty,supply,homepage
24시 글로리 동물병원,서울특별시 금천구 시흥대로 483,02-855-8575,,TRUE,FALSE,FALSE,FALSE,https://www.instagram.com/glory.vet
라임동물병원,서울특별시 성동구 무학로 16,02-2281-8122,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/limeamc
24시센트럴동물메디컬센터,서울특별시 성동구 고산자로 207,02-3395-7975,"응급진료, 2차진료, 수술전문, 슬개골탈구, 중성화수술, 고양이, 토끼, 고슴도치, 노령동물 진료, 호텔, 미용",TRUE,TRUE,TRUE,FALSE,http://www.24시동물병원.com
유앤동물의료원,서울특별시 송파구 양재대로 1148,02-2043-7582,,FALSE,FALSE,FALSE,FALSE,
서울동물병원,서울특별시 광진구 천호대로 623-1,02-2038-8253,,FALSE,FALSE,FALSE,FALSE,
대한동물병원,서울특별시 강서구 화곡로 205,02-2694-4821,"예방접종, 강아지중성화수술, 고양이미용, 고양이중성화수술, 강아지예방접종, 애견분양",FALSE,FALSE,TRUE,FALSE,http://comfortdh.modoo.at/
스마일플러스동물병원,서울특별시 노원구 동일로 1051,02-976-7582,,FALSE,FALSE,FALSE,FALSE,
형제동물병원,서울특별시 관악구 남부순환로 1747,02-889-0575,"강아지분양, 종견교배, 애견미용, 진료",FALSE,FALSE,TRUE,FALSE,
바른펫 동물의료센터,서울특별시 강북구 노해로 65,02-903-7582,,FALSE,FALSE,FALSE,FALSE,
홍익동물병원,서울특별시 마포구 독막로 45,02-325-2026,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/hongik-blog
라온동물병원,서울특별시 용산구 회나무로13길 6,02-792-7585,"애견 미용, 호텔",FALSE,TRUE,TRUE,FALSE,http://blog.naver.com/raonah
개와냥이동물병원,서울특별시 은평구 통일로 727-5,02-352-7275,"강아지/고양이 분양, 애견용품할인, 분양시 예방접종할인, 동물판매업허가업체",FALSE,FALSE,FALSE,TRUE,http://blog.naver.com/kwangnyeon99
VIP동물의료센터 서초동작점,서울특별시 서초구 동작대로 36,02-525-3102,,FALSE,FALSE,FALSE,FALSE,http://www.vipah.co.kr/
동물병원메이,서울특별시 용산구 대사관로 41,02-797-4408,,FALSE,FALSE,FALSE,FALSE,http://www.mayah.co.kr/
우리동물병원생명사회적협동조합,서울특별시 마포구 월드컵북로12길 22,02-335-3333,,FALSE,FALSE,FALSE,FALSE,http://mapowithpet.com/
도그원 동물의료센터,서울특별시 은평구 연서로29길 24,02-358-1591,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/cafedog1/
스마트동물병원,서울특별시 강북구 솔샘로 203-2,02-987-7588,,FALSE,FALSE,FALSE,FALSE,
러브펫동물병원 노원중계점,서울특별시 노원구 동일로204가길 12,02-972-6543,"강아지 분양, 고양이 미용, 용품 판매 등",FALSE,FALSE,TRUE,TRUE,
서울대학교 수의과대학 동물병원,서울특별시 관악구 관악로 1,,"외과, 내과, 영상의학, 임상병리, 피부, 마취과, 산과, MRI, CT, 항암치료, 동물검역 안내",FALSE,FALSE,FALSE,FALSE,http://vmth.snu.ac.kr/
홍제동물병원,서울특별시 서대문구 통일로 463,02-396-5525,,FALSE,FALSE,FALSE,FALSE,
신사24시동물병원,서울특별시 강남구 도산대로 138,02-549-4506,"강아지, 고양이 및 전염병 치료 전문",TRUE,FALSE,FALSE,FALSE,
오석헌동물병원,서울특별시 성동구 독서당로 223,02-6402-0301,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/oshvet
한솔동물병원,서울특별시 서대문구 통일로 392,02-737-8375,,FALSE,FALSE,FALSE,FALSE,http://petopia.co.kr/
혜민동물병원,서울특별시 광진구 자양로15길 48,02-454-8275,"만성질환 치료, 애견용품 판매, 매용, 분양 등 전문",FALSE,FALSE,FALSE,TRUE,http://hyeminpet.blog.me/
아인스동물병원,서울특별시 동대문구 장한로 44,02-2213-0075,"암, 신장, 심장 등 관리 안내",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/primitian22
치료멍멍동물병원 신사본원,서울특별시 강남구 도산대로 309,02-545-0075,"강아지 슬개골탈구 전문, 초음파, X-ray 보유",FALSE,FALSE,FALSE,FALSE,http://blog.7500clinic.com/
애플동물병원,서울특별시 광진구 천호대로 644,02-455-0077,"내과, 산과, 피부과, 외과, 중성화수술 등",FALSE,FALSE,FALSE,FALSE,
서울종합동물병원,서울특별시 성북구 보문로 146,02-928-5599,"동물치료, 애완 용품 판매 전문",FALSE,FALSE,FALSE,TRUE,
Pet365 동물병원,서울특별시 성동구 독서당로 328,02-2282-3653,"예방접종, 피부병, 아토피 미용 등 각종 진료",FALSE,FALSE,TRUE,FALSE,http://blog.naver.com/pet365ah
송파 스마일동물병원,서울특별시 송파구 새말로5길 17,02-448-7588,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/drdnc
츄츄동물병원,서울특별시 강남구 논현로67길 56,02-512-0075,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/vetlucy
독립문동물병원,서울특별시 서대문구 통일로 171-1,02-733-5060,"개, 고양이, 토끼, 햄스터, 고슴도치, 기니피그, 특수 동물 진료 / 애견미용",FALSE,FALSE,TRUE,FALSE,http://www.animalhospital.co.kr/
리센츠스타동물병원,서울특별시 송파구 올림픽로 145,02-419-1010,"동물 진료, 분양, 미용 등",FALSE,FALSE,TRUE,FALSE,http://blog.naver.com/ricenzstar
시유동물메디컬센터,서울특별시 용산구 이촌로64길 24,02-793-0075,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/seeu_amc
우신종합동물병원,서울특별시 영등포구 신길로 168,02-836-6509,"365일 연중무휴, 야간진료, 최신 의료장비,수술전문병원",TRUE,FALSE,FALSE,FALSE,http://blog.naver.com/wsah96/
선릉동물병원,서울특별시 강남구 선릉로 528,02-557-1555,"각종 수술, 진료, 용품, 미용, 분양, 호텔",FALSE,TRUE,TRUE,TRUE,http://blog.naver.com/slah1555
남산동물병원,서울특별시 용산구 후암로 51,02-778-7582,"사이버 상담, 포토 갤러리, 강아지 고양이 및 특수동물 클리닉 운영",FALSE,FALSE,FALSE,FALSE,http://www.namsan7582.com/
흑석동물병원,서울특별시 동작구 현충로 92,02-822-0275,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/heuksuk24ah
야옹동물병원,서울특별시 은평구 응암로 286,02-354-0087,,FALSE,FALSE,FALSE,FALSE,
둘레길동물병원,서울특별시 은평구 연서로 317,02-354-7544,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/norpia
서서울동물병원,서울특별시 강서구 양천로 667,02-3662-8661,,FALSE,FALSE,FALSE,FALSE,
힐스타동물병원,서울특별시 강남구 자곡로 202,02-445-5022,"고양이, 특수동물 등 미용, 호텔, 용품, 진료",FALSE,TRUE,TRUE,TRUE,http://blog.naver.com/hillstar22
고려종합동물병원,서울특별시 강남구 선릉로 225,02-575-7999,"앵무새, 닭, 오리, 꿩, 메추리, 조류, 고슴도치, 설치류, 이구아나, 거북이, 파충류 등 진료 및 수술",FALSE,FALSE,FALSE,FALSE,
태능동물병원,서울특별시 중랑구 동일로 920,02-973-1953,,FALSE,FALSE,FALSE,FALSE,
노룬산동물병원,서울특별시 광진구 뚝섬로 462,02-464-2748,,FALSE,FALSE,FALSE,FALSE,
디오빌동물병원,서울특별시 영등포구 당산로 222,02-2671-0026,"노령견, 고양이 진료, 난치성 피부병 및 귀 클리닉, 슬개골 탈구, 골절 수술 전문",FALSE,FALSE,FALSE,FALSE,http://www.drdio.co.kr/
청담눈초롱안과동물병원,서울특별시 강남구 도산대로 539,02-512-7566,,FALSE,FALSE,FALSE,FALSE,http://www.animaleyes.co.kr/
미래동물병원,서울특별시 은평구 서오릉로 192,02-386-6092,,FALSE,FALSE,FALSE,FALSE,http://www.미래동물병원.com/
주주동물병원,서울특별시 동대문구 사가정로 121,02-2244-1081,"외과, 치과, 중성화 수술, 슬개골 탈구수술, 고양이 진료, 심장초음파",FALSE,FALSE,FALSE,FALSE,http://www.jujuah.co.kr/
닥터호오 동물병원,서울특별시 마포구 대흥로 24,02-715-0075,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/dr-hooh
피카소동물병원,서울특별시 광진구 광나루로 392-1,02-467-3673,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/picaso467
허브동물병원,서울특별시 구로구 구일로10길 27,02-6734-7500,,FALSE,FALSE,FALSE,FALSE,
두리동물병원,서울특별시 송파구 성내천로 229,02-449-8575,,FALSE,FALSE,FALSE,FALSE,
고려동물병원,서울특별시 노원구 덕릉로 738,02-3391-0075,,FALSE,FALSE,FALSE,FALSE,
러브펫동물병원,서울특별시 용산구 한강대로23길 55,02-2012-3875,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/luvpet3875
아이러브펫동물병원 신도림점,서울특별시 구로구 경인로 661,02-3439-7533,"애견 진료, 수술, 미용, 분양",FALSE,FALSE,TRUE,FALSE,
스마트동물병원 성북길음점,서울특별시 성북구 길음로13길 22,02-941-5575,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/smart5575
에이플러스동물병원,서울특별시 서대문구 연희로 114,02-3144-7582,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/aplusah7582
한가람 동물의료센터,서울특별시 영등포구 영등포로 387,02-844-7775,"응급진료, 야간응급, 2차 전문진료",TRUE,FALSE,FALSE,FALSE,http://www.hangaramanimal.com/
방학동물병원,서울특별시 도봉구 도봉로 727,02-3494-0075,,FALSE,FALSE,FALSE,FALSE,
엉클장동물병원,서울특별시 용산구 백범로 341,02-713-0053,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/unclejangvet
아델동물병원,서울특별시 서초구 반포대로 45,02-522-0222,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/adel0222
엘동물병원,서울특별시 동대문구 고산자로 391,02-3295-3927,"강아지, 고양이 진료 및 분양, 용품, 호텔, 미용 정보 제공",FALSE,TRUE,TRUE,TRUE,http://blog.naver.com/haego99
아프리카동물병,서울특별시 용산구 후암로 32,02-773-1119,"개, 고양이, 토끼, 햄스터, 고슴도치 진료, 호텔, 미용, 용품, 대형견 미용, 목욕",FALSE,TRUE,TRUE,TRUE,
행복한동물병원,서울특별시 관악구 은천로 121,02-887-7179,애견의 질병 치료와 질병 예방,FALSE,FALSE,FALSE,FALSE,
신당햇살동물병원,서울특별시 성동구 행당로1길 23,02-2299-4696,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/poohimne
이황동물병원,서울특별시 마포구 월드컵로 147,02-336-0073,"애완동물 진료, 미용 전문",FALSE,FALSE,TRUE,FALSE,
동물병원 베를린,서울특별시 관악구 남부순환로 1531,,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/berlinvet
엔젤동물병원,서울특별시 중랑구 겸재로 187,02-435-0166,"예방접종, 건강관리 등 애완동물 진료 전문, 내과진료, 수술, 입원, 미용 상담",FALSE,FALSE,TRUE,FALSE,
우신동물병원,서울특별시 양천구 중앙로 295,02-2693-8883,"동물 진료 및 미용제품 판매 전문, 야간 응급진료",FALSE,FALSE,TRUE,TRUE,http://www.pethospital.kr/
불광동물병원,서울특별시 은평구 불광로 37,02-356-1656,"노령견진료, 수술전문",FALSE,FALSE,FALSE,FALSE,
나래동물병원,서울특별시 성북구 동소문로 66,02-929-5496,,FALSE,FALSE,FALSE,FALSE,
이리온 송파점,서울특별시 송파구 오금로 182,02-425-6125,,FALSE,FALSE,FALSE,FALSE,
양천종합동물병원,서울특별시 양천구 오목로 45,02-2694-2242,"예방접종, 외과수술, 내과, 안과, 치과, 심장병, 혈액, 영상진단 검사, 애견 미용, 분양, 호텔 안내",FALSE,TRUE,TRUE,FALSE,http://blog.naver.com/kbjvet/
헬로우동물병원,서울특별시 서대문구 연희로 178,02-333-7750,,FALSE,FALSE,FALSE,FALSE,
호담동물병원,서울특별시 성북구 동소문로 302,02-915-5301,,FALSE,FALSE,FALSE,FALSE,
숲속동물병원,서울특별시 중랑구 겸재로 214,02-492-9303,"강아지분양, 고양이분양, 애견분양, 강아지 고양이 고슴도치 햄스터 동물 진료",FALSE,FALSE,FALSE,FALSE,
제인동물병원,서울특별시 성동구 뚝섬로 395,02-468-7582,,FALSE,FALSE,FALSE,FALSE,http://www.janepet.com/
위드펫 종합동물병원,서울특별시 송파구 백제고분로 161,02-2202-0075,"예절교육, 강좌",FALSE,FALSE,FALSE,FALSE,http://cafe.daum.net/edu-pet/
드림펫동물병원,서울특별시 광진구 능동로 379,02-464-7588,"애견진료 및 분양, 교배, 미용, 용품 등 판매",FALSE,FALSE,TRUE,TRUE,http://www.doggynkitty.co.kr/
석촌동물병원,서울특별시 송파구 송파대로 441,02-414-7975,"애견미용, 분양, 호텔 및 애견용품 취급",FALSE,TRUE,TRUE,TRUE,http://blog.naver.com/kmhcvt
면목동물병원,서울특별시 중랑구 사가정로 373,02-437-7579,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/mush96
세인트동물병원,서울특별시 강서구 강서로 36,02-2695-0072,,FALSE,FALSE,FALSE,FALSE,http://www.drsaint.co.kr/
닥터킴동물병원,서울특별시 관악구 은천로 97,02-877-5546,,FALSE,FALSE,FALSE,FALSE,http://drkimah.co.kr
동물사랑동물병원,서울특별시 마포구 월드컵로 64,02-3142-0008,,FALSE,FALSE,FALSE,FALSE,
대학로동물병원,서울특별시 종로구 창경궁로 261,02-3672-8440,,FALSE,FALSE,FALSE,FALSE,
대형동물병원,서울특별시 강북구 삼양로 504,02-998-1785,"개, 고양이, 토끼 진료 및 중성화, 일반외과 수술",FALSE,FALSE,FALSE,FALSE,http://pet007.hihome.com/
서울햇빛동물병원,서울특별시 은평구 진관2로 67,02-387-8275,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/hvanimal
오라고동물병원,서울특별시 양천구 공항대로 552,02-2643-7579,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/aurakoah
이비치동물치과병원,서울특별시 강남구 선릉로 756,02-511-2842,동물전문 치과병원,FALSE,FALSE,FALSE,FALSE,http://www.evichi.co.kr/
헤이븐동물병원,서울특별시 서초구 동작대로 166,02-532-5119,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/havenah
가로수동물병원,서울특별시 강남구 압구정로 134,02-549-7579,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/garosuah
바른동물병원,서울특별시 중구 퇴계로 447,02-2232-7975,,FALSE,FALSE,FALSE,FALSE,http://www.barunah.co.kr/
펫 동물병원,서울특별시 용산구 백범로 285,02-3275-0079,"한방 디스크 치료 및 건강검진, 고양이 수술, 분양 병원",FALSE,FALSE,FALSE,FALSE,http://blog.daum.net/pet-clinic/
옥수수동물병원,서울특별시 성동구 독서당로40길 39,02-2291-7582,,FALSE,FALSE,FALSE,FALSE,
쥬라기동물병원,서울특별시 중랑구 신내로 211,02-3421-7588,"반려동물 내과, 외과, 피부클리닉 및 건강검진",FALSE,FALSE,FALSE,FALSE,
제연동물병원,서울특별시 동대문구 답십리로 77,02-2242-7975,"사료, 미용, 피부병, 감기 등 진료",FALSE,FALSE,TRUE,FALSE,http://jeyeonah.blog.me/
주주동물종합병원,서울특별시 강남구 선릉로 412,02-556-0975,"애견미용, 애견용품, 고양이, 진료, 미용",FALSE,FALSE,TRUE,TRUE,http://blog.smartmyshop.com/주주동물종합병원
오즈동물병원,서울특별시 서대문구 가재울미래로 2,02-305-5975,,FALSE,FALSE,FALSE,FALSE,http://www.ohsvet.com/
한사랑동물병원,서울특별시 성북구 성북로 27,02-743-7582,"개, 고양이 등 예방접종, 각종 검사, 행동습관질환, 내과, 외과 상담 및 치료",FALSE,FALSE,FALSE,FALSE,
아프리카동물병원,서울특별시 영등포구 시흥대로 647,02-833-8275,"애견미용, 애견용품 판매, 호텔",FALSE,TRUE,TRUE,TRUE,
미래지동물의료센터,서울특별시 중구 다산로 107,02-2233-7574,,FALSE,FALSE,FALSE,FALSE,http://miraeji_amc.blog.me/
푸른종합동물병원,서울특별시 동대문구 홍릉로 35,02-962-3344,,FALSE,FALSE,FALSE,FALSE,
금호동물병원,서울특별시 성동구 금호로 105,02-2281-0049,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/hellawai
광진동물의료센터,서울특별시 광진구 광나루로 507,02-457-4545,"365일 연중무휴, 야간응급, 노령 질환, 고양이 질환, 유기동물 전문",TRUE,FALSE,FALSE,FALSE,http://kjamc.com/
마음을나누는동물병원,서울특별시 서대문구 북아현로 8-2,02-365-7582,"고양이 진료, 한방진료",FALSE,FALSE,FALSE,FALSE,http://www.manadong.com/
홍대 아이엠 중성화진료수술센터,서울특별시 마포구 양화로 122,02-338-2475,,FALSE,FALSE,FALSE,FALSE,http://www.impet.co.kr/
은마로동물병원,서울특별시 노원구 덕릉로 665-1,02-931-1575,미용 제공,FALSE,FALSE,TRUE,FALSE,
건강한동물병원,서울특별시 마포구 만리재로 15,,,FALSE,FALSE,FALSE,FALSE,http://kkhah.modoo.at/
피닉스 동물병원,서울특별시 동작구 상도로 43,02-813-7579,"수술, 애견 상담 및 예방 접종",FALSE,FALSE,FALSE,FALSE,http://cafe.daum.net/phoenixah
몰리스펫샵 이마트청계천점,서울특별시 중구 청계천로 400,02-2104-5020,,FALSE,FALSE,FALSE,FALSE,
씨에이치동물병원,서울특별시 강동구 구천면로 322,02-488-7510,"고양이, 강아지 진료, 미용",FALSE,FALSE,TRUE,FALSE,
오주동물병원,서울특별시 송파구 마천로 264,02-443-8083,애완용품 판매 및 동물 치료 전문,FALSE,FALSE,FALSE,TRUE,
웰펫동물병원,서울특별시 중구 동호로 178,02-2256-7582,"강아지, 고양이 진료 전문",FALSE,FALSE,FALSE,FALSE,
석동물병원,서울특별시 강동구 성안로 10,02-475-7501,"피부과, 안과, 내과, 외과, 귓병, 노령견 진단 및 치료",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/dvmseok
행복한우리아이동물병원,서울특별시 송파구 석촌호수로 146,02-424-7552,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/dnfldkdlah
올바른동물병원,서울특별시 강동구 올림픽로 787,02-428-1661,,FALSE,FALSE,FALSE,FALSE,
오금동물병원,서울특별시 송파구 오금로 306,02-443-7533,"수술, 진료, 예방접종, 심장사상충예방 등 상담, 애견미용, 사료, 간식 판매",FALSE,FALSE,TRUE,FALSE,http://blog.naver.com/mhyoo0423
원동물병원,서울특별시 강남구 역삼로 409,02-555-6835,,FALSE,FALSE,FALSE,FALSE,
다나동물병원,서울특별시 강서구 강서로 254,,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/dana2008/
바우미우동물병원,서울특별시 중구 다산로 175,02-2237-3366,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/bowmeowah
아프리카동물병원,서울특별시 강동구 아리수로 421,02-426-7722,"수술, 외과, 노령견 전문, 분양, 애견 미용, 토끼 및 특수동물진료, 종합동물병원",FALSE,FALSE,TRUE,FALSE,http://blog.naver.com/africa_ah
이앤박동물병원,서울특별시 노원구 한글비석로52길 18,02-939-6898,"슬개골 탈구 교정술, 피부 클리닉",FALSE,FALSE,FALSE,FALSE,
에이블동물병원,서울특별시 서초구 바우뫼로 211,02-2058-1882,"노령견 전문, 내과/외과 진료, 수술전문, 응급진료",FALSE,FALSE,FALSE,FALSE,http://www.ableah.com/
쥬라기동물병원,서울특별시 광진구 광나루로 601,02-455-7570,,FALSE,FALSE,FALSE,FALSE,
정겨운동물병원,서울특별시 동작구 상도로 315,02-817-8172,"중성화수술, 슬개골 탈구, 건강검진, 용품, 호텔, 미용, 분양 등 제공",FALSE,TRUE,TRUE,TRUE,http://blog.naver.com/friendlyac
한아름동물병원,서울특별시 마포구 독막로 153,02-332-7582,,FALSE,FALSE,FALSE,FALSE,
태양종합동물병원,서울특별시 성북구 돌곶이로 31,02-969-0075,"애완동물 진료, 애견 미용, 애완 용품 취급 전문",FALSE,FALSE,TRUE,TRUE,
나무동물병원,서울특별시 동작구 흑석한강로 2,02-813-4567,"동물 진료, 중성화, 슬개골 탈구 수술, 아토피, 치아 관리",FALSE,FALSE,FALSE,FALSE,
꿈이크는동물병원,서울특별시 송파구 백제고분로 115,,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/rokvet
수동물병원,서울특별시 광진구 광나루로 341,02-3409-4640,"수의사 일기, 동물 이야기",FALSE,FALSE,FALSE,FALSE,
와이즈24시동물병원,서울특별시 강남구 학동로6길 7,02-3446-8253,,TRUE,FALSE,FALSE,FALSE,http://blog.naver.com/wise24ah
나루동물병원,서울특별시 광진구 아차산로 537-17,02-457-7582,"개, 고양이 전문 진료, 수술, 미용, 호텔 등",FALSE,TRUE,TRUE,FALSE,
다온동물병원,서울특별시 광진구 면목로 142,02-499-7582,"외과, 내과, 방사선, 노령견, 고양이 진료",FALSE,FALSE,FALSE,FALSE,
키다리동물병원,서울특별시 마포구 월드컵북로 262,02-376-7675,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/keydaddy
21세기동물병원,서울특별시 용산구 보광로 46,02-749-6750,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/vetsj21
세명동물병원,서울특별시 강서구 강서로17길 52,02-2604-3584,"개, 고양이, 고슴도치, 햄스터 등 반려동물 및 특수동물 진료 전문",FALSE,FALSE,FALSE,FALSE,
보다듬 동물병원,서울특별시 강서구 수명로 82,02-2666-2611,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/bodadeum
리즈동물병원,서울특별시 서초구 잠원로 221,02-535-7579,,FALSE,FALSE,FALSE,FALSE,
필동물종합병원,서울특별시 양천구 등촌로 16,02-2649-0774,"개, 고양이 질병 전문 진료, 노령견 진료, 슬개골 탈구, 교정, 불임 등 수술",FALSE,FALSE,FALSE,FALSE,
독산 온 동물병원,서울특별시 금천구 독산로 225,02-868-8275,,FALSE,FALSE,FALSE,FALSE,
이안동물의학센터,서울특별시 강남구 선릉로 806,02-574-7533,최다 동물 MRI 및 CT 검사,FALSE,FALSE,FALSE,FALSE,http://www.ian.kr/
동물병원소풍,서울특별시 성동구 금호로 173,02-2237-1975,,FALSE,FALSE,FALSE,FALSE,
킴리동물병원,서울특별시 송파구 올림픽로33길 16,02-6925-5475,"동물 진료, 미용, 호텔, 용품 전문",FALSE,TRUE,TRUE,TRUE,
푸른들동물의료원,서울특별시 양천구 신정로 312,02-2699-1222,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/prndle
위드,서울특별시 강북구 덕릉로 79,02-904-0075,,FALSE,FALSE,FALSE,FALSE,
차오름동물병원,서울특별시 용산구 효창원로 14,02-706-7975,"애완동물 진료, 치료 및 애견 미용용품 판매, 호텔 운영",FALSE,TRUE,TRUE,TRUE,
그녀의 동물병원,서울특별시 중구 다산로 32,02-2237-7582,,FALSE,FALSE,FALSE,FALSE,
용강동물병원,서울특별시 마포구 대흥로 48,02-707-2340,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/yonggangah
호수동물병원,서울특별시 송파구 오금로 126,02-413-7514,,FALSE,FALSE,FALSE,FALSE,
공원옆동물병원,서울특별시 양천구 목동서로 349,,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/ilovepet7533
아이펫동물병원,서울특별시 영등포구 여의동로3길 10,02-786-7582,,FALSE,FALSE,FALSE,FALSE,
로얄도그앤캣메디컬센터,서울특별시 광진구 능동로 49,02-468-6612,,FALSE,FALSE,FALSE,FALSE,http://staramc.com/
